mere;bb;gest;ps;reg;tps;gdp
2;2,1;NP;C2;NPC2;1;3,783333333
2;2,2;NP;C1;NPC1;1;5,783333333
3;3,2;HP;C1;HPC1;1;4,816666667
3;3,3;HP;NP;HPNP;1;3,483333333
3;3,4;HP;C2;HPC2;1;3,533333333
4;4,1;NP;NP;NPNP;1;3,8
4;4,2;NP;NP;NPNP;1;5,533333333
4;4,3;NP;C1;NPC1;1;0,116666667
4;4,4;NP;C2;NPC2;1;8,083333333
4;4,5;NP;C1;NPC1;1;4,55
4;4,6;NP;C2;NPC2;1;7,633333333
5;5,1;NP;C1;NPC1;1;5,883333333
5;5,2;NP;C2;NPC2;1;-8,45
5;5,4;NP;NP;NPNP;1;3,033333333
5;5,5;NP;NP;NPNP;1;3,216666667
6;6,1;HP;C1;HPC1;1;4,05
6;6,2;HP;C2;HPC2;1;3,783333333
7;7,1;HP;NP;HPNP;1;5,916666667
7;7,3;HP;C1;HPC1;1;-0,7
7;7,5;HP;C2;HPC2;1;10,83333333
7;7,6;HP;NP;HPNP;1;5,45
8;8,1;HP;C2;HPC2;1;8,233333333
8;8,2;HP;C1;HPC1;1;6,883333333
8;8,5;HP;NP;HPNP;1;7,95
10;10,2;NP;NP;NPNP;1;6,283333333
10;10,5;NP;C2;NPC2;1;8,45
11;11,1;NP;C2;NPC2;1;1,116666667
11;11,2;NP;C1;NPC1;1;4,116666667
11;11,3;NP;NP;NPNP;1;5,766666667
12;12,1;HP;C2;HPC2;1;7,95
12;12,2;HP;NP;HPNP;1;11,55
13;13,2;HP;C1;HPC1;1;6,85
13;13,3;HP;C2;HPC2;1;4,066666667
16;16,1;HP;NP;HPNP;1;4,6
16;16,2;HP;C2;HPC2;1;2,45
16;16,3;HP;C1;HPC1;1;-0,883333333
17;17,1;NP;C1;NPC1;1;-0,116666667
17;17,2;NP;C2;NPC2;1;4,333333333
17;17,3;NP;NP;NPNP;1;6,416666667
17;17,5;NP;C1;NPC1;1;7,5
18;18,2;HP;C1;HPC1;1;7,816666667
18;18,4;HP;NP;HPNP;1;7,533333333
19;19,1;NP;C1;NPC1;1;6,883333333
19;19,3;NP;NP;NPNP;1;6,733333333
19;19,4;NP;C2;NPC2;1;10,35
20;20,1;HP;C1;HPC1;1;2,05
20;20,3;HP;C2;HPC2;1;4,633333333
2;2,1;NP;C2;NPC2;2;8,333333333
2;2,2;NP;C1;NPC1;2;10,03333333
3;3,2;HP;C1;HPC1;2;11,16666667
3;3,3;HP;NP;HPNP;2;9,633333333
3;3,4;HP;C2;HPC2;2;9,533333333
4;4,1;NP;NP;NPNP;2;10,4
4;4,2;NP;NP;NPNP;2;10,93333333
4;4,3;NP;C1;NPC1;2;6,466666667
4;4,4;NP;C2;NPC2;2;13,13333333
4;4,5;NP;C1;NPC1;2;11,1
